id,user_id,subscription_product_id,attempted_date,attempt_count,status,response,next_attempt_date,payment_method_id,is_reactivate,remarks
730725,24587,33,2020-02-06,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-08,28246,NULL,NULL
730819,24142,11,2020-02-06,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-08,64680,NULL,NULL
730821,24023,11,2020-02-06,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-08,26807,NULL,NULL
730859,20369,11,2020-02-06,2,0,Subscription payment fail - transaction declined by authorization system,2020-03-04,10507,NULL,NULL
730899,19063,11,2020-02-06,2,0,Subscription payment fail - transaction declined by authorization system,2020-03-04,9060,NULL,NULL
731076,11508,11,2020-02-06,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-08,35791,NULL,NULL
731283,6741,12,2020-02-06,2,0,Subscription payment fail - transaction declined by authorization system,2020-03-04,128285,NULL,NULL
731374,5098,12,2020-02-06,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-08,40027,NULL,NULL
731418,4522,11,2020-02-06,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-08,18933,NULL,NULL
731480,3765,12,2020-02-06,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-08,31615,NULL,NULL
731486,3756,11,2020-02-06,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-08,40015,NULL,NULL
731488,3753,12,2020-02-06,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-08,38483,NULL,NULL
731509,3504,11,2020-02-06,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-08,124713,NULL,NULL
731516,3470,12,2020-02-06,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-08,97177,NULL,NULL
731692,58304,11,2020-02-07,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-09,129025,NULL,NULL
731791,55480,11,2020-02-07,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-09,118644,NULL,NULL
731851,55438,11,2020-02-07,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-09,118536,NULL,NULL
